img,niqe
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_20.obj/5.png,6.675391503
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_40.obj/0.png,14.02468729
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_40.obj/1.png,12.97915575
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_40.obj/2.png,12.08218185
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_40.obj/3.png,12.31733628
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_40.obj/4.png,10.95307095
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_40.obj/5.png,7.152222079
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_60.obj/0.png,14.61424
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_60.obj/1.png,13.98215016
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_60.obj/2.png,13.17226054
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_60.obj/3.png,13.21837105
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_60.obj/4.png,11.70914457
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_60.obj/5.png,10.68280049
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_80.obj/0.png,14.77657853
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_80.obj/1.png,13.73441551
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_80.obj/2.png,13.81418498
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_80.obj/3.png,13.60693322
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_80.obj/4.png,12.12697214
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_80.obj/5.png,8.31943373
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.05.obj/0.png,12.3365451
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.05.obj/1.png,6.744778048
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.05.obj/2.png,6.219695186
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.05.obj/3.png,6.299203066
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.05.obj/4.png,5.21346734
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.05.obj/5.png,7.502090157
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.10.obj/0.png,8.894141087
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.10.obj/1.png,6.460768185
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.10.obj/2.png,6.665028238
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.10.obj/3.png,6.373425923
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.10.obj/4.png,5.125502835
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.10.obj/5.png,7.271702821
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.15.obj/0.png,12.52775999
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.15.obj/1.png,6.613519426
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.15.obj/2.png,6.215687081
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.15.obj/3.png,6.677894391
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.15.obj/4.png,5.781650213
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.15.obj/5.png,8.101666058
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.20.obj/0.png,12.78808428
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.20.obj/1.png,6.949896061
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.20.obj/2.png,5.90622895
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.20.obj/3.png,5.701262403
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.20.obj/4.png,5.619479685
./dis_6projections/00005_Sam006_Basics_006_gn_sigma_0.20.obj/5.png,7.880341627
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_03.obj/0.png,20.13772196
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_03.obj/1.png,18.48588972
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_03.obj/2.png,18.58075809
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_03.obj/3.png,17.73027327
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_03.obj/4.png,21.09605013
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_03.obj/5.png,18.28495175
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_10.obj/0.png,10.67174303
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_10.obj/1.png,11.41945632
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_10.obj/2.png,11.33192083
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_10.obj/3.png,9.010318042
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_10.obj/4.png,13.47211416
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_10.obj/5.png,11.67349739
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_15.obj/0.png,10.63146029
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_15.obj/1.png,9.812458526
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_15.obj/2.png,10.39494879
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_15.obj/3.png,7.324660292
./dis_6projections/00005_Sam006_Basics_006_jpeg_q_15.obj/4.png,9.397337024
